scientificname,trait,hits,status,rank,division,commonname,uid,genus,species,subsp,modificationdate
Aedes albopictus,fecundity,79,active,species,mosquitos,Asian tiger mosquito,7160,Aedes,albopictus,NA,2018/11/26 00:00
Aedes albopictus,R0,102,active,species,mosquitos,Asian tiger mosquito,7160,Aedes,albopictus,NA,2018/11/26 00:00
Ochlerotatus annulipes,life_hist,0,active,species,mosquitos,NA,866103,Ochlerotatus,annulipes,NA,2018/10/29 00:00
Ochlerotatus annulipes,autogeny,0,active,species,mosquitos,NA,866103,Ochlerotatus,annulipes,NA,2018/10/29 00:00
Ochlerotatus annulipes,wing_length,0,active,species,mosquitos,NA,866103,Ochlerotatus,annulipes,NA,2018/10/29 00:00
Ochlerotatus annulipes,voltinism,0,active,species,mosquitos,NA,866103,Ochlerotatus,annulipes,NA,2018/10/29 00:00
Ochlerotatus annulipes,oviposition,3,active,species,mosquitos,NA,866103,Ochlerotatus,annulipes,NA,2018/10/29 00:00
Ochlerotatus annulipes,overwinter,0,active,species,mosquitos,NA,866103,Ochlerotatus,annulipes,NA,2018/10/29 00:00
Ochlerotatus annulipes,host_pref,3,active,species,mosquitos,NA,866103,Ochlerotatus,annulipes,NA,2018/10/29 00:00
Ochlerotatus annulipes,fecundity,0,active,species,mosquitos,NA,866103,Ochlerotatus,annulipes,NA,2018/10/29 00:00
Ochlerotatus annulipes,R0,0,active,species,mosquitos,NA,866103,Ochlerotatus,annulipes,NA,2018/10/29 00:00
Aedes atropalpus,life_hist,0,active,species,mosquitos,rock-pool mosquito,28624,Aedes,atropalpus,NA,2018/10/29 00:00
Aedes atropalpus,autogeny,28,active,species,mosquitos,rock-pool mosquito,28624,Aedes,atropalpus,NA,2018/10/29 00:00
Aedes atropalpus,wing_length,2,active,species,mosquitos,rock-pool mosquito,28624,Aedes,atropalpus,NA,2018/10/29 00:00
Aedes atropalpus,voltinism,0,active,species,mosquitos,rock-pool mosquito,28624,Aedes,atropalpus,NA,2018/10/29 00:00
Aedes atropalpus,oviposition,6,active,species,mosquitos,rock-pool mosquito,28624,Aedes,atropalpus,NA,2018/10/29 00:00
Aedes atropalpus,overwinter,4,active,species,mosquitos,rock-pool mosquito,28624,Aedes,atropalpus,NA,2018/10/29 00:00
Aedes atropalpus,host_pref,12,active,species,mosquitos,rock-pool mosquito,28624,Aedes,atropalpus,NA,2018/10/29 00:00
Aedes atropalpus,fecundity,2,active,species,mosquitos,rock-pool mosquito,28624,Aedes,atropalpus,NA,2018/10/29 00:00
Aedes atropalpus,R0,0,active,species,mosquitos,rock-pool mosquito,28624,Aedes,atropalpus,NA,2018/10/29 00:00
Ochlerotatus berlandi,life_hist,0,active,species,mosquitos,NA,2579877,Ochlerotatus,berlandi,NA,2020/01/24 00:00
Ochlerotatus berlandi,autogeny,1,active,species,mosquitos,NA,2579877,Ochlerotatus,berlandi,NA,2020/01/24 00:00
Ochlerotatus berlandi,wing_length,0,active,species,mosquitos,NA,2579877,Ochlerotatus,berlandi,NA,2020/01/24 00:00
Ochlerotatus berlandi,voltinism,0,active,species,mosquitos,NA,2579877,Ochlerotatus,berlandi,NA,2020/01/24 00:00
Ochlerotatus berlandi,oviposition,1,active,species,mosquitos,NA,2579877,Ochlerotatus,berlandi,NA,2020/01/24 00:00
Ochlerotatus berlandi,overwinter,0,active,species,mosquitos,NA,2579877,Ochlerotatus,berlandi,NA,2020/01/24 00:00
Ochlerotatus berlandi,host_pref,0,active,species,mosquitos,NA,2579877,Ochlerotatus,berlandi,NA,2020/01/24 00:00
Ochlerotatus berlandi,fecundity,0,active,species,mosquitos,NA,2579877,Ochlerotatus,berlandi,NA,2020/01/24 00:00
Ochlerotatus berlandi,R0,0,active,species,mosquitos,NA,2579877,Ochlerotatus,berlandi,NA,2020/01/24 00:00
Ochlerotatus cantans,life_hist,0,active,species,mosquitos,NA,120869,Ochlerotatus,cantans,NA,2018/10/29 00:00
Ochlerotatus cantans,autogeny,0,active,species,mosquitos,NA,120869,Ochlerotatus,cantans,NA,2018/10/29 00:00
Ochlerotatus cantans,wing_length,0,active,species,mosquitos,NA,120869,Ochlerotatus,cantans,NA,2018/10/29 00:00
Ochlerotatus cantans,voltinism,0,active,species,mosquitos,NA,120869,Ochlerotatus,cantans,NA,2018/10/29 00:00
Ochlerotatus cantans,oviposition,3,active,species,mosquitos,NA,120869,Ochlerotatus,cantans,NA,2018/10/29 00:00
Ochlerotatus cantans,overwinter,0,active,species,mosquitos,NA,120869,Ochlerotatus,cantans,NA,2018/10/29 00:00
Ochlerotatus cantans,host_pref,8,active,species,mosquitos,NA,120869,Ochlerotatus,cantans,NA,2018/10/29 00:00
Ochlerotatus cantans,fecundity,1,active,species,mosquitos,NA,120869,Ochlerotatus,cantans,NA,2018/10/29 00:00
Ochlerotatus cantans,R0,0,active,species,mosquitos,NA,120869,Ochlerotatus,cantans,NA,2018/10/29 00:00
Ochlerotatus caspius,life_hist,3,active,species,mosquitos,NA,120870,Ochlerotatus,caspius,NA,2018/10/29 00:00
Ochlerotatus caspius,autogeny,6,active,species,mosquitos,NA,120870,Ochlerotatus,caspius,NA,2018/10/29 00:00
Ochlerotatus caspius,wing_length,0,active,species,mosquitos,NA,120870,Ochlerotatus,caspius,NA,2018/10/29 00:00
Ochlerotatus caspius,voltinism,0,active,species,mosquitos,NA,120870,Ochlerotatus,caspius,NA,2018/10/29 00:00
Ochlerotatus caspius,oviposition,19,active,species,mosquitos,NA,120870,Ochlerotatus,caspius,NA,2018/10/29 00:00
Ochlerotatus caspius,overwinter,2,active,species,mosquitos,NA,120870,Ochlerotatus,caspius,NA,2018/10/29 00:00
Ochlerotatus caspius,host_pref,16,active,species,mosquitos,NA,120870,Ochlerotatus,caspius,NA,2018/10/29 00:00
Ochlerotatus caspius,fecundity,1,active,species,mosquitos,NA,120870,Ochlerotatus,caspius,NA,2018/10/29 00:00
Ochlerotatus caspius,R0,1,active,species,mosquitos,NA,120870,Ochlerotatus,caspius,NA,2018/10/29 00:00
Ochlerotatus cataphylla,life_hist,0,active,species,mosquitos,NA,120871,Ochlerotatus,cataphylla,NA,2018/10/29 00:00
Ochlerotatus cataphylla,autogeny,0,active,species,mosquitos,NA,120871,Ochlerotatus,cataphylla,NA,2018/10/29 00:00
Ochlerotatus cataphylla,wing_length,0,active,species,mosquitos,NA,120871,Ochlerotatus,cataphylla,NA,2018/10/29 00:00
Ochlerotatus cataphylla,voltinism,0,active,species,mosquitos,NA,120871,Ochlerotatus,cataphylla,NA,2018/10/29 00:00
Ochlerotatus cataphylla,oviposition,1,active,species,mosquitos,NA,120871,Ochlerotatus,cataphylla,NA,2018/10/29 00:00
Ochlerotatus cataphylla,overwinter,0,active,species,mosquitos,NA,120871,Ochlerotatus,cataphylla,NA,2018/10/29 00:00
Ochlerotatus cataphylla,host_pref,1,active,species,mosquitos,NA,120871,Ochlerotatus,cataphylla,NA,2018/10/29 00:00
Ochlerotatus cataphylla,fecundity,0,active,species,mosquitos,NA,120871,Ochlerotatus,cataphylla,NA,2018/10/29 00:00
Ochlerotatus cataphylla,R0,0,active,species,mosquitos,NA,120871,Ochlerotatus,cataphylla,NA,2018/10/29 00:00
Aedes cinereus,life_hist,0,active,species,mosquitos,NA,120872,Aedes,cinereus,NA,2005/01/19 00:00
Aedes cinereus,autogeny,0,active,species,mosquitos,NA,120872,Aedes,cinereus,NA,2005/01/19 00:00
Aedes cinereus,wing_length,0,active,species,mosquitos,NA,120872,Aedes,cinereus,NA,2005/01/19 00:00
Aedes cinereus,voltinism,0,active,species,mosquitos,NA,120872,Aedes,cinereus,NA,2005/01/19 00:00
Aedes cinereus,oviposition,4,active,species,mosquitos,NA,120872,Aedes,cinereus,NA,2005/01/19 00:00
Aedes cinereus,overwinter,2,active,species,mosquitos,NA,120872,Aedes,cinereus,NA,2005/01/19 00:00
Aedes cinereus,host_pref,15,active,species,mosquitos,NA,120872,Aedes,cinereus,NA,2005/01/19 00:00
Aedes cinereus,fecundity,0,active,species,mosquitos,NA,120872,Aedes,cinereus,NA,2005/01/19 00:00
Aedes cinereus,R0,1,active,species,mosquitos,NA,120872,Aedes,cinereus,NA,2005/01/19 00:00
Ochlerotatus communis,life_hist,0,active,species,mosquitos,NA,329099,Ochlerotatus,communis,NA,2018/10/29 00:00
Ochlerotatus communis,autogeny,1,active,species,mosquitos,NA,329099,Ochlerotatus,communis,NA,2018/10/29 00:00
Ochlerotatus communis,wing_length,0,active,species,mosquitos,NA,329099,Ochlerotatus,communis,NA,2018/10/29 00:00
Ochlerotatus communis,voltinism,0,active,species,mosquitos,NA,329099,Ochlerotatus,communis,NA,2018/10/29 00:00
Ochlerotatus communis,oviposition,1,active,species,mosquitos,NA,329099,Ochlerotatus,communis,NA,2018/10/29 00:00
Ochlerotatus communis,overwinter,0,active,species,mosquitos,NA,329099,Ochlerotatus,communis,NA,2018/10/29 00:00
Ochlerotatus communis,host_pref,3,active,species,mosquitos,NA,329099,Ochlerotatus,communis,NA,2018/10/29 00:00
Ochlerotatus communis,fecundity,0,active,species,mosquitos,NA,329099,Ochlerotatus,communis,NA,2018/10/29 00:00
Ochlerotatus communis,R0,0,active,species,mosquitos,NA,329099,Ochlerotatus,communis,NA,2018/10/29 00:00
Aedes cretinus,life_hist,0,active,species,mosquitos,NA,240003,Aedes,cretinus,NA,2018/11/26 00:00
Aedes cretinus,autogeny,0,active,species,mosquitos,NA,240003,Aedes,cretinus,NA,2018/11/26 00:00
Aedes cretinus,wing_length,0,active,species,mosquitos,NA,240003,Aedes,cretinus,NA,2018/11/26 00:00
Aedes cretinus,voltinism,0,active,species,mosquitos,NA,240003,Aedes,cretinus,NA,2018/11/26 00:00
Aedes cretinus,oviposition,0,active,species,mosquitos,NA,240003,Aedes,cretinus,NA,2018/11/26 00:00
Aedes cretinus,overwinter,1,active,species,mosquitos,NA,240003,Aedes,cretinus,NA,2018/11/26 00:00
Aedes cretinus,host_pref,0,active,species,mosquitos,NA,240003,Aedes,cretinus,NA,2018/11/26 00:00
Aedes cretinus,fecundity,0,active,species,mosquitos,NA,240003,Aedes,cretinus,NA,2018/11/26 00:00
Aedes cretinus,R0,2,active,species,mosquitos,NA,240003,Aedes,cretinus,NA,2018/11/26 00:00
Ochlerotatus cyprius,life_hist,0,active,species,mosquitos,NA,662895,Ochlerotatus,cyprius,NA,2018/10/29 00:00
Ochlerotatus cyprius,autogeny,0,active,species,mosquitos,NA,662895,Ochlerotatus,cyprius,NA,2018/10/29 00:00
Ochlerotatus cyprius,wing_length,0,active,species,mosquitos,NA,662895,Ochlerotatus,cyprius,NA,2018/10/29 00:00
Ochlerotatus cyprius,voltinism,0,active,species,mosquitos,NA,662895,Ochlerotatus,cyprius,NA,2018/10/29 00:00
Ochlerotatus cyprius,oviposition,0,active,species,mosquitos,NA,662895,Ochlerotatus,cyprius,NA,2018/10/29 00:00
Ochlerotatus cyprius,overwinter,0,active,species,mosquitos,NA,662895,Ochlerotatus,cyprius,NA,2018/10/29 00:00
Ochlerotatus cyprius,host_pref,0,active,species,mosquitos,NA,662895,Ochlerotatus,cyprius,NA,2018/10/29 00:00
Ochlerotatus cyprius,fecundity,0,active,species,mosquitos,NA,662895,Ochlerotatus,cyprius,NA,2018/10/29 00:00
Ochlerotatus cyprius,R0,0,active,species,mosquitos,NA,662895,Ochlerotatus,cyprius,NA,2018/10/29 00:00
Ochlerotatus detritus,life_hist,2,active,species,mosquitos,NA,120873,Ochlerotatus,detritus,NA,2018/10/29 00:00
Ochlerotatus detritus,autogeny,5,active,species,mosquitos,NA,120873,Ochlerotatus,detritus,NA,2018/10/29 00:00
Ochlerotatus detritus,wing_length,0,active,species,mosquitos,NA,120873,Ochlerotatus,detritus,NA,2018/10/29 00:00
Ochlerotatus detritus,voltinism,0,active,species,mosquitos,NA,120873,Ochlerotatus,detritus,NA,2018/10/29 00:00
Ochlerotatus detritus,oviposition,11,active,species,mosquitos,NA,120873,Ochlerotatus,detritus,NA,2018/10/29 00:00
Ochlerotatus detritus,overwinter,1,active,species,mosquitos,NA,120873,Ochlerotatus,detritus,NA,2018/10/29 00:00
Ochlerotatus detritus,host_pref,5,active,species,mosquitos,NA,120873,Ochlerotatus,detritus,NA,2018/10/29 00:00
Ochlerotatus detritus,fecundity,2,active,species,mosquitos,NA,120873,Ochlerotatus,detritus,NA,2018/10/29 00:00
Ochlerotatus detritus,R0,2,active,species,mosquitos,NA,120873,Ochlerotatus,detritus,NA,2018/10/29 00:00
Ochlerotatus diantaeus,life_hist,0,active,species,mosquitos,NA,1129559,Ochlerotatus,diantaeus,NA,2018/10/29 00:00
Ochlerotatus diantaeus,autogeny,0,active,species,mosquitos,NA,1129559,Ochlerotatus,diantaeus,NA,2018/10/29 00:00
Ochlerotatus diantaeus,wing_length,0,active,species,mosquitos,NA,1129559,Ochlerotatus,diantaeus,NA,2018/10/29 00:00
Ochlerotatus diantaeus,voltinism,0,active,species,mosquitos,NA,1129559,Ochlerotatus,diantaeus,NA,2018/10/29 00:00
Ochlerotatus diantaeus,oviposition,0,active,species,mosquitos,NA,1129559,Ochlerotatus,diantaeus,NA,2018/10/29 00:00
Ochlerotatus diantaeus,overwinter,0,active,species,mosquitos,NA,1129559,Ochlerotatus,diantaeus,NA,2018/10/29 00:00
Ochlerotatus diantaeus,host_pref,0,active,species,mosquitos,NA,1129559,Ochlerotatus,diantaeus,NA,2018/10/29 00:00
Ochlerotatus diantaeus,fecundity,0,active,species,mosquitos,NA,1129559,Ochlerotatus,diantaeus,NA,2018/10/29 00:00
Ochlerotatus diantaeus,R0,0,active,species,mosquitos,NA,1129559,Ochlerotatus,diantaeus,NA,2018/10/29 00:00
Ochlerotatus dorsalis,life_hist,0,active,species,mosquitos,NA,663928,Ochlerotatus,dorsalis,NA,2018/10/29 00:00
Ochlerotatus dorsalis,autogeny,0,active,species,mosquitos,NA,663928,Ochlerotatus,dorsalis,NA,2018/10/29 00:00
Ochlerotatus dorsalis,wing_length,1,active,species,mosquitos,NA,663928,Ochlerotatus,dorsalis,NA,2018/10/29 00:00
Ochlerotatus dorsalis,voltinism,0,active,species,mosquitos,NA,663928,Ochlerotatus,dorsalis,NA,2018/10/29 00:00
Ochlerotatus dorsalis,oviposition,1,active,species,mosquitos,NA,663928,Ochlerotatus,dorsalis,NA,2018/10/29 00:00
Ochlerotatus dorsalis,overwinter,1,active,species,mosquitos,NA,663928,Ochlerotatus,dorsalis,NA,2018/10/29 00:00
Ochlerotatus dorsalis,host_pref,2,active,species,mosquitos,NA,663928,Ochlerotatus,dorsalis,NA,2018/10/29 00:00
Ochlerotatus dorsalis,fecundity,0,active,species,mosquitos,NA,663928,Ochlerotatus,dorsalis,NA,2018/10/29 00:00
Ochlerotatus dorsalis,R0,2,active,species,mosquitos,NA,663928,Ochlerotatus,dorsalis,NA,2018/10/29 00:00
Ochlerotatus eatoni,life_hist,0,active,species,mosquitos,NA,1712862,Ochlerotatus,eatoni,NA,2018/10/29 00:00
Ochlerotatus eatoni,autogeny,0,active,species,mosquitos,NA,1712862,Ochlerotatus,eatoni,NA,2018/10/29 00:00
Ochlerotatus eatoni,wing_length,0,active,species,mosquitos,NA,1712862,Ochlerotatus,eatoni,NA,2018/10/29 00:00
Ochlerotatus eatoni,voltinism,0,active,species,mosquitos,NA,1712862,Ochlerotatus,eatoni,NA,2018/10/29 00:00
Ochlerotatus eatoni,oviposition,0,active,species,mosquitos,NA,1712862,Ochlerotatus,eatoni,NA,2018/10/29 00:00
Ochlerotatus eatoni,overwinter,0,active,species,mosquitos,NA,1712862,Ochlerotatus,eatoni,NA,2018/10/29 00:00
Ochlerotatus eatoni,host_pref,0,active,species,mosquitos,NA,1712862,Ochlerotatus,eatoni,NA,2018/10/29 00:00
Ochlerotatus eatoni,fecundity,0,active,species,mosquitos,NA,1712862,Ochlerotatus,eatoni,NA,2018/10/29 00:00
Ochlerotatus eatoni,R0,0,active,species,mosquitos,NA,1712862,Ochlerotatus,eatoni,NA,2018/10/29 00:00
Aedes echinus,life_hist,0,active,species,mosquitos,NA,2575619,Aedes,echinus,NA,2019/05/17 00:00
Aedes echinus,autogeny,1,active,species,mosquitos,NA,2575619,Aedes,echinus,NA,2019/05/17 00:00
Aedes echinus,wing_length,0,active,species,mosquitos,NA,2575619,Aedes,echinus,NA,2019/05/17 00:00
Aedes echinus,voltinism,0,active,species,mosquitos,NA,2575619,Aedes,echinus,NA,2019/05/17 00:00
Aedes echinus,oviposition,1,active,species,mosquitos,NA,2575619,Aedes,echinus,NA,2019/05/17 00:00
Aedes echinus,overwinter,0,active,species,mosquitos,NA,2575619,Aedes,echinus,NA,2019/05/17 00:00
Aedes echinus,host_pref,0,active,species,mosquitos,NA,2575619,Aedes,echinus,NA,2019/05/17 00:00
Aedes echinus,fecundity,0,active,species,mosquitos,NA,2575619,Aedes,echinus,NA,2019/05/17 00:00
Aedes echinus,R0,0,active,species,mosquitos,NA,2575619,Aedes,echinus,NA,2019/05/17 00:00
Ochlerotatus euedes,life_hist,0,active,species,mosquitos,NA,743690,Ochlerotatus,euedes,NA,2018/10/29 00:00
Ochlerotatus euedes,autogeny,0,active,species,mosquitos,NA,743690,Ochlerotatus,euedes,NA,2018/10/29 00:00
Ochlerotatus euedes,wing_length,0,active,species,mosquitos,NA,743690,Ochlerotatus,euedes,NA,2018/10/29 00:00
Ochlerotatus euedes,voltinism,0,active,species,mosquitos,NA,743690,Ochlerotatus,euedes,NA,2018/10/29 00:00
Ochlerotatus euedes,oviposition,0,active,species,mosquitos,NA,743690,Ochlerotatus,euedes,NA,2018/10/29 00:00
Ochlerotatus euedes,overwinter,0,active,species,mosquitos,NA,743690,Ochlerotatus,euedes,NA,2018/10/29 00:00
Ochlerotatus euedes,host_pref,0,active,species,mosquitos,NA,743690,Ochlerotatus,euedes,NA,2018/10/29 00:00
Ochlerotatus euedes,fecundity,0,active,species,mosquitos,NA,743690,Ochlerotatus,euedes,NA,2018/10/29 00:00
Ochlerotatus euedes,R0,0,active,species,mosquitos,NA,743690,Ochlerotatus,euedes,NA,2018/10/29 00:00
Ochlerotatus excrucians,life_hist,0,active,species,mosquitos,NA,329103,Ochlerotatus,excrucians,NA,2018/10/29 00:00
Ochlerotatus excrucians,autogeny,0,active,species,mosquitos,NA,329103,Ochlerotatus,excrucians,NA,2018/10/29 00:00
Ochlerotatus excrucians,wing_length,0,active,species,mosquitos,NA,329103,Ochlerotatus,excrucians,NA,2018/10/29 00:00
Ochlerotatus excrucians,voltinism,0,active,species,mosquitos,NA,329103,Ochlerotatus,excrucians,NA,2018/10/29 00:00
Ochlerotatus excrucians,oviposition,0,active,species,mosquitos,NA,329103,Ochlerotatus,excrucians,NA,2018/10/29 00:00
Ochlerotatus excrucians,overwinter,0,active,species,mosquitos,NA,329103,Ochlerotatus,excrucians,NA,2018/10/29 00:00
Ochlerotatus excrucians,host_pref,1,active,species,mosquitos,NA,329103,Ochlerotatus,excrucians,NA,2018/10/29 00:00
Ochlerotatus excrucians,fecundity,0,active,species,mosquitos,NA,329103,Ochlerotatus,excrucians,NA,2018/10/29 00:00
Ochlerotatus excrucians,R0,0,active,species,mosquitos,NA,329103,Ochlerotatus,excrucians,NA,2018/10/29 00:00
Ochlerotatus flavescens,life_hist,0,active,species,mosquitos,NA,662894,Ochlerotatus,flavescens,NA,2018/10/29 00:00
Ochlerotatus flavescens,autogeny,0,active,species,mosquitos,NA,662894,Ochlerotatus,flavescens,NA,2018/10/29 00:00
Ochlerotatus flavescens,wing_length,0,active,species,mosquitos,NA,662894,Ochlerotatus,flavescens,NA,2018/10/29 00:00
Ochlerotatus flavescens,voltinism,0,active,species,mosquitos,NA,662894,Ochlerotatus,flavescens,NA,2018/10/29 00:00
Ochlerotatus flavescens,oviposition,0,active,species,mosquitos,NA,662894,Ochlerotatus,flavescens,NA,2018/10/29 00:00
Ochlerotatus flavescens,overwinter,0,active,species,mosquitos,NA,662894,Ochlerotatus,flavescens,NA,2018/10/29 00:00
Ochlerotatus flavescens,host_pref,0,active,species,mosquitos,NA,662894,Ochlerotatus,flavescens,NA,2018/10/29 00:00
Ochlerotatus flavescens,fecundity,0,active,species,mosquitos,NA,662894,Ochlerotatus,flavescens,NA,2018/10/29 00:00
Ochlerotatus flavescens,R0,0,active,species,mosquitos,NA,662894,Ochlerotatus,flavescens,NA,2018/10/29 00:00
Aedes geminus,life_hist,0,active,species,mosquitos,NA,401424,Aedes,geminus,NA,2018/10/29 00:00
Aedes geminus,autogeny,0,active,species,mosquitos,NA,401424,Aedes,geminus,NA,2018/10/29 00:00
Aedes geminus,wing_length,0,active,species,mosquitos,NA,401424,Aedes,geminus,NA,2018/10/29 00:00
Aedes geminus,voltinism,0,active,species,mosquitos,NA,401424,Aedes,geminus,NA,2018/10/29 00:00
Aedes geminus,oviposition,0,active,species,mosquitos,NA,401424,Aedes,geminus,NA,2018/10/29 00:00
Aedes geminus,overwinter,0,active,species,mosquitos,NA,401424,Aedes,geminus,NA,2018/10/29 00:00
Aedes geminus,host_pref,1,active,species,mosquitos,NA,401424,Aedes,geminus,NA,2018/10/29 00:00
Aedes geminus,fecundity,0,active,species,mosquitos,NA,401424,Aedes,geminus,NA,2018/10/29 00:00
Aedes geminus,R0,0,active,species,mosquitos,NA,401424,Aedes,geminus,NA,2018/10/29 00:00
Aedes geniculatus,life_hist,2,active,species,mosquitos,NA,120874,Aedes,geniculatus,NA,2018/10/29 00:00
Aedes geniculatus,autogeny,1,active,species,mosquitos,NA,120874,Aedes,geniculatus,NA,2018/10/29 00:00
Aedes geniculatus,wing_length,2,active,species,mosquitos,NA,120874,Aedes,geniculatus,NA,2018/10/29 00:00
Aedes geniculatus,voltinism,0,active,species,mosquitos,NA,120874,Aedes,geniculatus,NA,2018/10/29 00:00
Aedes geniculatus,oviposition,5,active,species,mosquitos,NA,120874,Aedes,geniculatus,NA,2018/10/29 00:00
Aedes geniculatus,overwinter,1,active,species,mosquitos,NA,120874,Aedes,geniculatus,NA,2018/10/29 00:00
Aedes geniculatus,host_pref,8,active,species,mosquitos,NA,120874,Aedes,geniculatus,NA,2018/10/29 00:00
Aedes geniculatus,fecundity,3,active,species,mosquitos,NA,120874,Aedes,geniculatus,NA,2018/10/29 00:00
Aedes geniculatus,R0,0,active,species,mosquitos,NA,120874,Aedes,geniculatus,NA,2018/10/29 00:00
Ochlerotatus hexodontus,life_hist,0,active,species,mosquitos,NA,767797,Ochlerotatus,hexodontus,NA,2018/11/23 00:00
Ochlerotatus hexodontus,autogeny,0,active,species,mosquitos,NA,767797,Ochlerotatus,hexodontus,NA,2018/11/23 00:00
Ochlerotatus hexodontus,wing_length,0,active,species,mosquitos,NA,767797,Ochlerotatus,hexodontus,NA,2018/11/23 00:00
Ochlerotatus hexodontus,voltinism,0,active,species,mosquitos,NA,767797,Ochlerotatus,hexodontus,NA,2018/11/23 00:00
Ochlerotatus hexodontus,oviposition,0,active,species,mosquitos,NA,767797,Ochlerotatus,hexodontus,NA,2018/11/23 00:00
Ochlerotatus hexodontus,overwinter,0,active,species,mosquitos,NA,767797,Ochlerotatus,hexodontus,NA,2018/11/23 00:00
Ochlerotatus hexodontus,host_pref,0,active,species,mosquitos,NA,767797,Ochlerotatus,hexodontus,NA,2018/11/23 00:00
Ochlerotatus hexodontus,fecundity,0,active,species,mosquitos,NA,767797,Ochlerotatus,hexodontus,NA,2018/11/23 00:00
Ochlerotatus hexodontus,R0,0,active,species,mosquitos,NA,767797,Ochlerotatus,hexodontus,NA,2018/11/23 00:00
Ochlerotatus hungaricus,life_hist,0,active,species,mosquitos,NA,1810856,Ochlerotatus,hungaricus,NA,2018/10/29 00:00
Ochlerotatus hungaricus,autogeny,0,active,species,mosquitos,NA,1810856,Ochlerotatus,hungaricus,NA,2018/10/29 00:00
Ochlerotatus hungaricus,wing_length,0,active,species,mosquitos,NA,1810856,Ochlerotatus,hungaricus,NA,2018/10/29 00:00
Ochlerotatus hungaricus,voltinism,0,active,species,mosquitos,NA,1810856,Ochlerotatus,hungaricus,NA,2018/10/29 00:00
Ochlerotatus hungaricus,oviposition,1,active,species,mosquitos,NA,1810856,Ochlerotatus,hungaricus,NA,2018/10/29 00:00
Ochlerotatus hungaricus,overwinter,0,active,species,mosquitos,NA,1810856,Ochlerotatus,hungaricus,NA,2018/10/29 00:00
Ochlerotatus hungaricus,host_pref,1,active,species,mosquitos,NA,1810856,Ochlerotatus,hungaricus,NA,2018/10/29 00:00
Ochlerotatus hungaricus,fecundity,0,active,species,mosquitos,NA,1810856,Ochlerotatus,hungaricus,NA,2018/10/29 00:00
Ochlerotatus hungaricus,R0,0,active,species,mosquitos,NA,1810856,Ochlerotatus,hungaricus,NA,2018/10/29 00:00
Ochlerotatus intrudens,life_hist,0,active,species,mosquitos,NA,228921,Ochlerotatus,intrudens,NA,2018/10/29 00:00
Ochlerotatus intrudens,autogeny,0,active,species,mosquitos,NA,228921,Ochlerotatus,intrudens,NA,2018/10/29 00:00
Ochlerotatus intrudens,wing_length,0,active,species,mosquitos,NA,228921,Ochlerotatus,intrudens,NA,2018/10/29 00:00
Ochlerotatus intrudens,voltinism,0,active,species,mosquitos,NA,228921,Ochlerotatus,intrudens,NA,2018/10/29 00:00
Ochlerotatus intrudens,oviposition,0,active,species,mosquitos,NA,228921,Ochlerotatus,intrudens,NA,2018/10/29 00:00
Ochlerotatus intrudens,overwinter,0,active,species,mosquitos,NA,228921,Ochlerotatus,intrudens,NA,2018/10/29 00:00
Ochlerotatus intrudens,host_pref,0,active,species,mosquitos,NA,228921,Ochlerotatus,intrudens,NA,2018/10/29 00:00
